id,N_coord,E_coord
1,50.7875,-126.502778
2,50.787501,-126.502779
3,50.119444,-125.075
4,50.119445,-125.075001
5,54.910418,82.902026
6,43.1278,-70.9325
7,43.83333,-103.5
8,43.10575,-71.18295
9,39.24202,-123.51987
10,35.7025,-105.68639
11,24.5,105
12,54.910418,82.902026
13,44.83333,-122.33333
14,46.03138,-114.17138
15,42.6849,71.4942
16,36.9894,-84.5987
17,49.15,-124.5
18,44.4515,-71.5784
19,48.53761,-116.35661
20,44.488444,-123.537417
21,42.6849,71.4942
22,39.69315,-105.50125
23,42.61686,-103.19389
24,39.24202,-123.51987
25,44.85358,-122.6641
26,44.9125,-76.48889
27,45.3725,-121.8226
28,42.7602,-74.1069
29,42.16667,-123.5
30,31.882,-109.2841
31,43.5,-121.5
32,42.5,-123.16667
33,-17.864108,-63.885144
34,53.90578,-122.55703
35,36.54275,-117.468658
36,45.07217,-64.507303
38,53.27223,-120.06457
39,42.33333,-94.16667
40,42.16257,-111.64625
60,47.25,13.16667
61,50.795996,14.107753
62,55.567359,9.731359
63,55.215089,11.463444
64,41.430376,9.172636
65,48.804324,2.116268
66,50.015208,2.6978
67,48.421779,7.719479
68,51.823766,11.295645
69,47.599464,10.056675
70,47.635747,9.605978
71,50.5725,9.15
72,50.52868,8.68424
73,51.167015,13.670816
74,51.416239,11.122212
75,50.977175,11.334845
76,49.783954,11.361754
77,47.611794,10.493202
78,50.705148,13.109319
79,51.662847,11.343787
80,47.80331,8.0369
81,45.93633,10.814
82,46.01373,11.050714
83,46.034588,11.01796
84,46.027049,10.998823
85,45.87086,10.7848
86,45.88425,10.80646
87,45.75256,10.86439
88,45.82662,10.96489
89,45.9414,10.814
90,45.9415,10.8141
91,46.239797,11.236043
92,46.253001,11.25391
93,46.262205,11.270901
94,46.27501,11.281761
95,46.00564,11.084477
96,54.572901,24.672245
97,55.152649,25.811486
98,55.093794,26.072359
99,54.986036,25.806088
100,54.640067,23.962387
101,58.13178,11.60361
102,50.865486,5.690428
103,38.7923,-9.436918
104,38.792301,-9.436919
105,46.777227,23.551822
106,51.94989,85.944919
107,55.631312,85.959658
108,52.179577,104.342974
109,56.631802,16.455866
110,59.8261,16.886967
111,60.436867,18.42595
112,60.365467,17.28565
113,60.235767,17.683667
114,60.1018,18.343333
115,59.897633,17.491667
116,59.758583,18.0445
117,56.498062,84.896021
118,56.498062,84.896022
119,56.498062,84.896023
120,46.411589,8.133229
121,57.904881,5.156961
122,51.484547,-1.026138
123,54.601389,-3.319662
124,54.726054,-3.217639
125,51.97842,-4.907069
126,57.918766,-4.423488
127,57.656325,-4.197719
128,54.565379,-3.136706
129,55.881703,-3.227013
130,51.484547,-1.026138
131,38.44334,-123.12586
132,56.06324,14.526432
133,47.96666667,7.83333333
134,54.846053,83.146981
135,54.846054,83.146982
136,54.846055,83.146983
137,53.43333,16.16667
138,44.8,7.08333
139,41.95667,24.12583
140,41.99528,24.79056
141,41.66639,24.41028
142,42.80889,24.63333
143,49.30917,33.22028
144,42.38723,19.75715
145,41.91851,45.584026
146,41.466589,46.116873
147,50,105
148,42.86167,24.52028
149,51,11
150,56.06324,14.526432
151,59.809635,17.729858
152,50,105
153,60.48673,22.1534
154,60.19488333,21.33488333
155,62.14489,26.12041
156,62.312,27.534
157,62.30807,26.43993
158,62.33517,26.00523
159,62.98699,26.14083
160,63.05,25.82
161,63.21271667,28.20098333
162,60.2,42.115
163,63.31833333,25.55075
164,62.6034,23.86053333
165,62.86643333,27.6723
166,63.31341667,29.89443333
167,62.48023333,24.3899
168,62.9,42.063
169,60.15,21.59
170,63.70208333,28.86095
171,62.33403333,21.19113333
172,61.19863,26.85067
173,60.9789,25.9305
174,60.35,25.24
175,60.53665,21.87658
176,61.58244,26.01867
177,67.77957,29.6048
178,67.792,29.4471
179,65.2101,25.2777
180,65.21,25.27
181,65.29,25.38
182,65.6751,24.5182
