id,N_coord,E_coord,,,
1,50.7875,-126.502778,1,British Columbia,
2,50.787501,-126.502779,2,British Columbia,
3,50.119444,-125.075,3,British Columbia,
4,50.119445,-125.075001,4,British Columbia,
5,54.910418,82.902026,5,New Hampshire,
6,43.1278,-70.9325,6,New Hampshire,
7,43.83333,-103.5,7,South Dakota,
8,43.10575,-71.18295,8,New Hampshire,
9,39.24202,-123.51987,9,California,
10,35.7025,-105.68639,10,New Mexico,
11,24.5,105,11,Durango, Mexico
12,54.910418,82.902026,12,New Hampshire,
13,44.83333,-122.33333,13,Oregon,
14,46.03138,-114.17138,14,Montana,
15,42.6849,71.4942,15,Massachusetts,
16,36.9894,-84.5987,16,Kentucky,
17,49.15,-124.5,17,British Columbia,
18,44.4515,-71.5784,18,New Hampshire,
19,48.53761,-116.35661,19,Idaho,
20,44.488444,-123.537417,20,Oregon,
21,42.6849,71.4942,21,Massachusetts,
22,39.69315,-105.50125,22,Colorado,
23,42.61686,-103.19389,23,Nebraska,
24,39.24202,-123.51987,24,California,
25,44.85358,-122.6641,25,Oregon,
26,44.9125,-76.48889,26,Ontario,
27,45.3725,-121.8226,27,Oregon,
29,42.16667,-123.5,29,Oregon,
30,31.882,-109.2841,30,Arizona,
31,43.5,-121.5,31,Oregon,
32,42.5,-123.16667,32,Oregon,
33,-17.864108,-63.885144,33,Colorado,
34,53.90578. ,-122.55703,34,British Columbia,
35,36.54275,-117.468658,35,Mexico,
36,45.07217,-64.507303,36,Nova Scotia,
38,53.27223,-120.06457,38,British Columbia,
39,42.33333,-94.16667,39,Iowa,
40,42.16257,-111.64625,40,Idaho,
60,47.25,13.16667,60,Austria,
61,50.795996,14.107753,61,Czech,
62,55.567359,9.731359,62,Denmark,
63,55.215089,11.463444,63,Denmark,
64,41.430376,9.172636,64,France,
65,48.804324,2.116268,65,France,
66,50.015208,2.6978,66,France,
67,48.421779,7.719479,67,France,
68,51.823766,11.295645,68,Germany,
69,47.599464,10.056675,69,Germany,
70,47.635747,9.605978,70,Germany,
71,50.5725,9.15,71,Germany,
72,50.52868,8.68424,72,Germany,
73,51.167015,13.670816,73,Germany,
74,51.416239,11.122212,74,Germany,
75,50.977175,11.334845,75,Germany,
76,49.783954,11.361754,76,Germany,
77,47.611794,10.493202,77,Germany,
78,50.705148,13.109319,78,Germany,
79,51.662847,11.343787,79,Germany,
80,47.80331,8.0369,80,Germany,
81,45.93633,10.814,81,Italy,
82,46.01373,11.050714,82,Italy,
83,46.034588,11.01796,83,Italy,
84,46.027049,10.998823,84,Italy,
85,45.87086,10.7848,85,Italy,
86,45.88425,10.80646,86,Italy,
87,45.75256,10.86439,87,Italy,
88,45.82662,10.96489,88,Italy,
89,45.9414,10.814,89,Italy,
90,45.9415,10.8141,90,Italy,
91,46.239797,11.236043,91,Italy,
92,46.253001,11.25391,92,Italy,
93,46.262205,11.270901,93,Italy,
94,46.27501,11.281761,94,Italy,
95,46.00564,11.084477,95,Italy,
96,54.572901,24.672245,96,Lithuania,
97,55.152649,25.811486,97,Lithuania,
98,55.093794,26.072359,98,Lithuania,
99,54.986036,25.806088,99,Lithuania,
100,54.640067,23.962387,100,Lithuania,
101,58.13178,11.60361,101,Sweden,
102,50.865486,5.690428,102,Netherlands,
103,38.7923,-9.436918,103,Portugal,
104,38.792301,-9.436919,104,Portugal,
105,46.777227,23.551822,105,Romania,
106,51.94989,85.944919,106,Russia,
107,55.631312,85.959658,107,Russia,
108,52.179577,104.342974,108,Russia,
109,56.631802,16.455866,109,Sweden,
110,59.8261,16.886967,110,Sweden,
111,60.436867,18.42595,111,Sweden,
112,60.365467,17.28565,112,Sweden,
113,60.235767,17.683667,113,Sweden,
114,60.1018,18.343333,114,Sweden,
115,59.897633,17.491667,115,Sweden,
116,59.758583,18.0445,116,Sweden,
